"year","biomass","se","lci","uci","pred"
1990,108220,18405,72146.2,144293.8,126633
1993,104147,16069,72651.76,135642.24,138550
1996,171359,43735,85638.4,257079.6,142971
1999,113873,17052,80451.08,147294.92,142962
2001,246060,34316,178800.64,313319.36,138780
2003,116170,24772,67616.88,164723.12,138752
2005,299780,52376,197123.04,402436.96,138889
2007,190206,27808,135702.32,244709.68,139249
2009,108760,30927,48143.08,169376.92,137494
2011,165460,38699,89609.96,241310.04,131288
2013,262513,51139,162280.56,362745.44,120554
2015,96378,18017,61064.68,131691.32,107594
2017,220873,60191,102898.64,338847.36,96254.4
2019,128330,29774,69972.96,186687.04,88136.6
2021,81296,12478,56839.12,105752.88,79734.1
